scenario_id,district,soil_type,water_availability,season,budget,land_area_acres,recommended_crop,suitability_score,expected_yield_min_kg,expected_yield_max_kg,estimated_cost,estimated_revenue_min,estimated_revenue_max,estimated_profit_min,estimated_profit_max,weather_risk,market_risk
1,Krishnagiri,Alluvial Clay,Low,Summer,40000,6.35,Coconut,58,45720.0,55880.0,171450.0,1006792.8,1230524.5,835342.8,1059074.5,Low,Medium
2,Coimbatore,Alluvial Clay,High,Rabi,100000,7.77,Rice,99,14529.9,19658.1,278166.0,218457.7,295560.4,-59708.3,17394.4,Low,Low
3,Trichy,Coastal Alluvial,Low,Kharif,40000,5.09,Rice,90,9518.3,12877.7,182222.0,181583.4,245671.6,-638.6,63449.6,Low,High
4,Nagapattinam,Red Loam,Low,Summer,100000,3.88,Sesamum,97,737.2,1202.8,31816.0,29744.5,48530.5,-2071.5,16714.5,Low,Low
5,Thanjavur,Alluvial Clay,High,Summer,60000,4.21,Coconut,56,30312.0,37048.0,113670.0,691156.3,844746.6,577486.3,731076.6,Low,Medium
6,Madurai,Black Cotton Soil,Medium,Rabi,25000,4.76,Pulses,49,1028.2,1827.8,56644.0,36231.3,64411.1,-20412.7,7767.1,High,Medium
7,Vellore,Black Cotton Soil,High,Kharif,150000,2.94,Maize,63,6174.0,8526.0,66738.0,242552.7,334953.7,175814.7,268215.7,Low,Low
8,Nagapattinam,Coastal Alluvial,High,Kharif,15000,0.62,Banana,50,9597.6,12722.4,47120.0,270719.2,358860.3,223599.2,311740.3,Low,Medium
9,Tirunelveli,Red Sandy Loam,High,Kharif,25000,3.19,Turmeric,72,15886.2,22393.8,220110.0,559595.8,788827.9,339485.8,568717.9,Low,Low
10,Vellore,Coastal Alluvial,High,Rabi,40000,4.71,Groundnut,40,3089.8,4446.2,115395.0,145515.4,209400.2,30120.4,94005.2,Medium,Low
11,Krishnagiri,Red Loam,Low,Summer,25000,0.69,Sorghum,91,465.7,776.2,9453.0,20324.6,33874.4,10871.6,24421.4,Medium,Medium
12,Coimbatore,Lateritic Hill Soil,High,Kharif,40000,2.02,Millets,46,1102.9,1725.1,21614.0,63338.9,99068.6,41724.9,77454.6,Low,Low
13,Madurai,Black Clay Loam,Low,Rabi,15000,1.29,Pulses,97,278.6,495.4,15351.0,10942.3,19453.0,-4408.7,4102.0,Low,Low
14,Kovilpatti,Red Sandy Loam,Low,Summer,150000,0.5,Millets,66,273.0,427.0,5350.0,6117.8,9568.9,767.8,4218.9,Low,Low
15,Tirunelveli,Black Clay Loam,High,Summer,150000,2.14,Sunflower,91,1027.2,1540.8,35310.0,41205.7,61808.6,5895.7,26498.6,Low,High
16,Thanjavur,Alluvial Clay,Medium,Summer,25000,5.84,Coconut,56,42048.0,51392.0,157680.0,1169683.8,1429613.5,1012003.8,1271933.5,Low,High
17,Trichy,Lateritic Hill Soil,Low,Kharif,15000,2.3,Millets,83,1255.8,1964.2,24610.0,27025.2,42270.1,2415.2,17660.1,Low,Medium
18,Krishnagiri,Alluvial Clay,High,Summer,40000,2.32,Banana,91,35913.6,47606.4,176320.0,1133082.7,1501993.4,956762.7,1325673.4,High,Low
19,Kovilpatti,Red Sandy Loam,High,Rabi,100000,6.94,Chili,71,2567.8,4372.2,267190.0,64688.8,110145.8,-202501.2,-157044.2,Low,High
20,Vellore,Lateritic Hill Soil,Medium,Kharif,40000,3.06,Millets,62,1670.8,2613.2,32742.0,33592.8,52542.6,850.8,19800.6,Medium,Medium
21,Krishnagiri,Alluvial Clay,Medium,Kharif,60000,4.47,Banana,71,69195.6,91724.4,339720.0,2776349.3,3680276.9,2436629.3,3340556.9,Medium,Low
22,Tirunelveli,Red Loam,High,Rabi,15000,5.32,Onion,74,19391.4,28488.6,183540.0,379416.4,557414.2,195876.4,373874.2,High,Low
23,Madurai,Black Clay Loam,Medium,Summer,100000,2.18,Sunflower,72,1046.4,1569.6,35970.0,49231.1,73846.6,13261.1,37876.6,Low,Low
24,Vellore,Lateritic Hill Soil,High,Kharif,15000,4.57,Millets,61,2495.2,3902.8,48899.0,94560.4,147902.2,45661.4,99003.2,Low,Low
25,Trichy,Black Cotton Soil,Low,Summer,150000,7.3,Sunflower,60,3504.0,5256.0,120450.0,121055.3,181583.0,605.3,61133.0,Medium,Medium
26,Kovilpatti,Coastal Alluvial,Low,Summer,60000,0.68,Coconut,83,4896.0,5984.0,18360.0,83046.8,101501.6,64686.8,83141.6,High,High
27,Coimbatore,Black Cotton Soil,High,Kharif,100000,7.46,Maize,99,15666.0,21634.0,169342.0,638439.0,881653.9,469097.0,712311.9,High,Low
28,Coimbatore,Lateritic Hill Soil,Low,Summer,25000,4.68,Millets,97,2555.3,3996.7,50076.0,145975.4,228320.5,95899.4,178244.5,High,Low
29,Madurai,Lateritic Hill Soil,Medium,Summer,25000,2.41,Millets,65,1315.9,2058.1,25787.0,37223.1,58220.8,11436.1,32433.8,Medium,Medium
30,Trichy,Lateritic Hill Soil,Low,Rabi,25000,6.58,Pulses,85,1421.3,2526.7,78302.0,62889.3,111803.3,-15412.7,33501.3,Medium,High
31,Krishnagiri,Lateritic Hill Soil,Medium,Rabi,150000,2.96,Maize,82,6216.0,8584.0,67192.0,178069.4,245905.4,110877.4,178713.4,Low,Medium
32,Coimbatore,Alluvial Clay,Low,Summer,60000,6.82,Banana,86,105573.6,139946.4,518320.0,4107970.0,5445448.6,3589650.0,4927128.6,Medium,Low
33,Madurai,Alluvial Clay,Medium,Rabi,40000,6.46,Rice,65,12080.2,16343.8,231268.0,585671.3,792378.8,354403.3,561110.8,Low,High
34,Krishnagiri,Lateritic Hill Soil,Low,Kharif,15000,1.8,Millets,73,982.8,1537.2,19260.0,21660.6,33879.4,2400.6,14619.4,Low,Low
35,Nagapattinam,Coastal Alluvial,Low,Kharif,100000,6.03,Coconut,42,43416.0,53064.0,162810.0,2077532.4,2539206.3,1914722.4,2376396.3,Low,Low
36,Coimbatore,Black Cotton Soil,Low,Kharif,150000,1.19,Turmeric,91,5926.2,8353.8,82110.0,317026.4,446892.6,234916.4,364782.6,Low,Low
37,Nilgiris,Coastal Alluvial,High,Kharif,150000,3.75,Rice,75,7012.5,9487.5,134250.0,404702.3,547538.4,270452.3,413288.4,Low,Low
38,Nilgiris,Red Loam,Medium,Kharif,100000,5.63,Turmeric,89,28037.4,39522.6,388470.0,1146627.0,1616329.6,758157.0,1227859.6,Medium,Low
39,Tirunelveli,Red Loam,Low,Summer,15000,7.71,Coconut,85,55512.0,67848.0,208170.0,1368732.2,1672894.9,1160562.2,1464724.9,Low,Low
40,Tirunelveli,Lateritic Hill Soil,Low,Rabi,100000,6.84,Chili,95,2530.8,4309.2,263340.0,144633.1,246267.2,-118706.9,-17072.8,Medium,High
41,Nagapattinam,Alluvial Clay,Medium,Kharif,15000,4.76,Banana,88,73684.8,97675.2,361760.0,1528667.6,2026373.4,1166907.6,1664613.4,Medium,Low
42,Coimbatore,Alluvial Clay,Low,Summer,100000,6.05,Coconut,56,43560.0,53240.0,163350.0,855543.4,1045664.2,692193.4,882314.2,Medium,Medium
43,Nagapattinam,Black Cotton Soil,Low,Summer,40000,3.42,Sunflower,80,1641.6,2462.4,56430.0,25424.6,38136.9,-31005.4,-18293.1,Medium,Low
44,Thanjavur,Red Loam,Medium,Summer,100000,1.19,Millets,62,649.7,1016.3,12733.0,31744.3,49651.3,19011.3,36918.3,Medium,Low
45,Coimbatore,Black Clay Loam,Medium,Summer,150000,4.62,Sunflower,62,2217.6,3326.4,76230.0,77325.2,115987.8,1095.2,39757.8,Medium,Medium
46,Nagapattinam,Black Clay Loam,Medium,Kharif,100000,6.79,Maize,89,14259.0,19691.0,154133.0,260573.7,359839.9,106440.7,205706.9,High,Low
47,Coimbatore,Black Cotton Soil,High,Kharif,15000,7.1,Sugarcane,43,174944.0,222656.0,674500.0,10386433.7,13219097.4,9711933.7,12544597.4,Low,Medium
48,Tirunelveli,Coastal Alluvial,Medium,Summer,40000,2.37,Coconut,42,17064.0,20856.0,63990.0,341346.3,417201.1,277356.3,353211.1,Low,Low
49,Nilgiris,Alluvial Clay,Low,Summer,15000,6.08,Coconut,96,43776.0,53504.0,164160.0,1805829.8,2207125.3,1641669.8,2042965.3,Low,Low
50,Vellore,Red Sandy Loam,Medium,Kharif,150000,6.52,Millets,60,3559.9,5568.1,69764.0,60351.4,94395.9,-9412.6,24631.9,High,Low
51,Tirunelveli,Red Loam,Low,Rabi,15000,2.13,Groundnut,96,1397.3,2010.7,52185.0,77621.9,111699.7,25436.9,59514.7,High,High
52,Vellore,Black Cotton Soil,Low,Rabi,60000,5.35,Pulses,80,1155.6,2054.4,63665.0,21376.4,38002.4,-42288.6,-25662.6,Low,Medium
53,Kovilpatti,Red Sandy Loam,Low,Kharif,60000,5.02,Maize,90,10542.0,14558.0,113954.0,604308.9,834521.8,490354.9,720567.8,Medium,Medium
54,Madurai,Black Clay Loam,Medium,Rabi,40000,0.84,Sunflower,88,403.2,604.8,13860.0,23961.1,35941.7,10101.1,22081.7,Low,Medium
55,Nagapattinam,Black Cotton Soil,High,Summer,15000,6.79,Sunflower,74,3259.2,4888.8,112035.0,117628.4,176442.6,5593.4,64407.6,Low,Low
56,Krishnagiri,Black Cotton Soil,Low,Kharif,100000,7.97,Sugarcane,49,196380.8,249939.2,757150.0,9362540.7,11915960.8,8605390.7,11158810.8,Medium,Low
57,Nagapattinam,Black Cotton Soil,Low,Summer,100000,5.05,Sunflower,88,2424.0,3636.0,83325.0,61300.4,91950.5,-22024.6,8625.5,Medium,Low
58,Vellore,Lateritic Hill Soil,Medium,Rabi,25000,4.07,Maize,56,8547.0,11803.0,92389.0,432750.0,597607.2,340361.0,505218.2,Low,Low
